40.3601	139.26	656.225	1.20754	11440.2	111.519	393.268	282.766	61.3864
34.2353	157.59	661.563	0.904828	11562.7	51.1616	373.421	342.164	73.2498
6.64158	178.423	678.085	0.99646	11814.3	66.3831	284.003	409.676	109.964
48.1056	144.588	692.156	0.998954	11776.5	66.8327	418.367	300.032	141.232
39.0921	161.634	681.536	0.993469	11808.2	65.8465	389.159	355.271	117.632
55.5036	128.999	673.471	1.09514	11599.2	114.97	442.341	249.516	99.71
39.3167	105.314	694.834	1.15669	11456.5	133.261	389.887	172.764	147.183
32.089	108.607	643.18	1.10354	10872.8	117.367	366.466	183.437	32.3983
42.4717	103.024	643.062	1.11119	10926.8	119.577	400.111	165.344	32.136
37.4664	89.323	662.125	0.914266	11238.5	70.6178	383.891	120.945	74.498
32.437	95.5128	686.324	1.16145	11511.1	134.747	367.593	141.003	128.272
11.8891	106.131	695.34	0.966393	11721.9	103.607	301.008	175.41	148.308
10.8837	110.34	702.865	1.05373	11721.9	103.607	297.75	189.051	165.029
1.2952	120.249	705.325	1.15462	11755.7	132.618	266.678	221.162	170.495
41.3813	150.652	696.236	0.917452	11845.4	71.2842	396.577	319.683	150.298
16.9634	103.387	702.623	0.53	11826.5	16.2018	317.451	166.52	164.492
16.7329	104.612	703.919	0.53	11833.1	16.2018	316.704	170.488	167.372
16.4859	106.077	706.168	0.53	11848.4	16.2018	315.904	175.237	172.369
12.6439	115.015	718.407	0.53	11946.4	16.2018	303.454	204.2	199.566
12.571	117.309	719.105	0.53	11957.6	16.2018	303.217	211.634	201.116
5.32627	135.623	720.625	0.53	12108.7	16.2018	279.741	270.981	204.495
0.876109	138.537	721.613	0.53	12152.5	16.2018	265.32	280.425	206.69
23.8471	162.167	658.722	0.53	11706.6	12.0715	339.758	356.998	66.9357
14.3628	172.47	662.272	0.53	11807.6	12.0715	309.024	390.383	74.8254
14.2339	172.854	662.565	0.53	11810.1	12.0715	308.606	391.628	75.4763
-1.53367	176.78	674.122	0.53	11926.5	12.0715	257.511	404.35	101.157
6.8641	176.088	698.637	0.53	12042.6	12.0715	284.724	402.109	155.634
7.68011	175.091	702.187	0.53	12063	12.0715	287.368	398.878	163.523
9.34924	160.243	712.468	0.53	12145.6	12.0715	292.777	350.763	186.369
7.5695	156.103	713.733	0.53	12166.6	12.0715	287.01	337.345	189.18
6.81872	154.668	714.519	0.53	12175	12.0715	284.577	332.697	190.926
6.083	153.55	715.192	0.53	12183.7	12.0715	282.193	329.073	192.422
2.75504	150.882	717.025	0.53	12208	12.0715	271.409	320.428	196.495
2.40677	150.75	717.171	0.53	12210.8	12.0715	270.28	320	196.819
-2.89145	151.24	719.259	0.53	12232.7	12.0715	253.111	321.588	201.459
